County,UOI,Voter_Turnout,fips
LIPSCOMB,0.5099986413622443,69.14,295
LIVE OAK,-0.21935146362018987,65.11,297
LLANO,0.725180008126423,73.95,299
LOVING,-3.5619205368192333,75.0,301
LUBBOCK,0.3558548925168553,61.95,303
LYNN,0.4893561568451727,58.49,305
MCCULLOCH,-0.44920750478803506,65.04,307
MCLENNAN,0.19961979761479554,61.9,309
MCMULLEN,-0.1752604522170177,76.09,311
MADISON,-0.4180890404099125,64.61,313
MARION,0.06351690242819222,60.16,315
MARTIN,0.7114361716083548,59.14,317
MASON,1.3962927272804508,77.21,319
MATAGORDA,-0.11122985751681749,59.35,321
MAVERICK,-0.6330402635096505,44.98,323
MEDINA,0.34794778388812764,63.81,325
MENARD,-0.2517447357103917,66.69,327
MIDLAND,0.4441604370806364,59.74,329
MILAM,0.05166034009660646,64.3,331
MILLS,0.26299339360670393,75.43,333
MITCHELL,-0.886291316880157,55.32,335
MONTAGUE,0.17856619490262834,70.71,337
MONTGOMERY,0.8809987354154395,68.1,339
MOORE,-0.20625962668287057,52.97,341
MORRIS,0.3593555129440137,60.59,343
MOTLEY,-0.15828830271049038,76.68,345
NACOGDOCHES,0.031847610744550066,63.2,347
NAVARRO,-0.21288949644993957,57.74,349
NEWTON,-0.4722406133421728,61.03,351
NOLAN,-0.2762869896468886,60.3,353
NUECES,-0.16584864865989368,55.5,355
OCHILTREE,-0.07096645310741723,58.03,357
OLDHAM,0.3959509609664795,72.84,359
ORANGE,-0.029820928859711764,64.64,361
PALO PINTO,-0.1352760386093588,65.53,363
PANOLA,-0.26662714844017193,64.42,365
PARKER,0.7897696243821015,71.15,367
PARMER,-0.23282117097096566,55.29,369
PECOS,-0.6725730409814655,50.92,371
POLK,-0.3781961580034275,54.69,373
POTTER,-0.6069378871612562,53.78,375
PRESIDIO,-0.525015376898744,45.25,377
RAINS,0.09514602192738394,67.79,379
RANDALL,0.9074693880631364,66.82,381
REAGAN,0.1343805881032184,52.75,383
REAL,-0.37492060890866125,69.05,385
RED RIVER,-0.09624975108584702,66.13,387
