County,Median_Household_Income,Bachelors_Degree_Pct,Unemployment_Rate,No_Health_Insurance_Pct,Median_Gross_Rent,Broadband_Pct,High_School_Grad_Pct,Upward_Mobility,Gini_Index,No_Vehicle_Pct,UOI_ALL,Voter_Turnout,fips
COLLIN,104327,53.4,4.3,10.6,1521,95.1,93.8975126293561,21.045853251032625,0.4319,2.822834048454904,1.372034632853007,69.07,085
COLLINGSWORTH,42446,23.6,4.6,25.3,534,75.0,74.56093666844066,5.437563653526095,0.5185,8.357075023741691,-0.7418082729510131,64.07,087
COLORADO,55945,20.7,4.5,16.2,845,75.1,84.3642365097589,23.23230098242213,0.4922,5.772253179025575,-0.10373459419877276,67.57,089
COMAL,85912,39.6,3.6,11.1,1275,93.0,93.81655505543968,23.319840381247666,0.4397,2.549659057219093,1.0660800848976866,71.9,091
COMANCHE,55743,19.3,7.5,15.7,606,77.9,85.54472233997457,42.73313873098786,0.4263,4.476449980537174,0.14224327912870466,65.06,093
CONCHO,46719,12.8,1.3,7.2,824,76.1,75.29976019184652,-3.7039327232253276,0.4149,3.61145703611457,0.06262607663314397,66.85,095
COOKE,63338,22.0,3.8,16.4,1008,78.2,87.89404162650388,12.562867653592564,0.4412,3.806035018005712,0.2052644272932302,67.58,097
CORYELL,58414,17.3,6.1,12.6,949,88.0,89.15739330003278,18.54693049213597,0.404,4.696501628120565,0.3268129839316404,51.03,099
COTTLE,43654,19.6,3.8,12.6,420,75.1,85.38993089832182,29.345185185185187,0.4899,7.64525993883792,-0.12528170823752874,65.9,101
CRANE,67804,14.3,3.5,16.9,869,74.5,75.52011095700416,12.756722598240566,0.3802,9.231722428748451,-0.11431496996971517,51.72,103
CROCKETT,52731,16.2,1.6,20.4,547,66.9,79.66786355475763,4.116810804407061,0.337,1.7733230531996915,0.10347107550057615,62.47,105
CROSBY,44304,14.5,4.7,21.0,614,81.2,77.15942028985508,13.524317121918722,0.5393,8.11789038262668,-0.6410799097246755,51.87,107
CULBERSON,34239,17.2,12.5,28.0,814,51.7,63.71971185330714,0.7592478149554163,0.4077,9.305993690851736,-1.4492682914787367,46.63,109
