County,Median_Household_Income,Bachelors_Degree_Pct,Unemployment_Rate,No_Health_Insurance_Pct,Median_Gross_Rent,Broadband_Pct,High_School_Grad_Pct,Upward_Mobility,Gini_Index,No_Vehicle_Pct,UOI_ALL,Voter_Turnout,fips
PARMER,62885,18.0,2.2,21.2,826,84.9,73.29262413626869,29.4222972277676,0.4013,2.5220680958385877,0.2667926355392677,55.29,369
PECOS,55652,11.5,1.3,18.5,782,73.0,74.97041420118343,7.571276698559968,0.4983,9.42942942942943,-0.5292404558523799,50.92,371
POLK,52826,13.1,9.5,17.7,854,80.6,80.38396860986548,29.27270947533281,0.4437,4.439746300211417,-0.21708351438070936,54.69,373
POTTER,45096,15.8,3.6,21.8,876,81.2,76.49136733478865,11.789786812097173,0.4873,8.632809781221724,-0.50846987871011,53.78,375
PRESIDIO,26395,17.8,7.8,29.3,444,63.5,52.088998763906055,-21.098257256449347,0.5744,9.977220956719817,-1.8881946117159667,45.25,377
RAINS,55758,18.8,3.9,17.6,835,81.2,86.35752688172043,10.619978176768177,0.4785,3.707742639040349,0.0054694936842890505,67.79,379
RANDALL,70544,32.2,3.2,9.7,999,90.6,93.71878162645686,12.627125409116308,0.4377,2.9423641703377386,0.8069948680080762,66.82,381
REAGAN,62829,13.7,6.4,19.0,914,83.0,85.16597510373444,6.027979816730513,0.3694,1.1225444340505144,0.21348590864564768,52.75,383
REAL,44083,16.0,1.4,22.5,778,70.0,89.24785461887936,18.953560538600613,0.497,5.93505039193729,-0.3065642103631494,69.05,385
RED RIVER,40674,14.7,4.3,16.1,602,71.5,87.76601930457029,16.158327621658668,0.4468,3.26726203441516,-0.11460016190864616,66.13,387
REEVES,53548,9.5,6.5,19.7,838,68.5,70.47981878088962,15.246212121212121,0.4462,5.9459459459459465,-0.5941203996972106,44.77,389
REFUGIO,50745,10.4,5.6,16.5,638,71.7,81.22751322751323,1.1965300628178284,0.4368,9.913202375513935,-0.5512718883528768,62.37,391
ROBERTS,62717,25.9,0.0,16.2,517,77.1,93.57142857142857,-13.493793103448276,0.4117,6.774193548387098,0.25439074958221003,78.95,393
ROBERTSON,55709,17.8,9.4,13.6,791,78.9,84.94023209144054,13.363314476415287,0.4634,7.908082408874802,-0.29216955001366623,64.68,395
ROCKWALL,111595,43.8,3.6,8.8,1479,95.8,93.56173766048295,25.161225199358462,0.4144,1.4732604623857315,1.4943466544710136,71.34,397
RUNNELS,52103,17.6,2.0,13.3,832,77.3,83.19660123058893,26.03836570792714,0.4359,2.349172450613988,0.2847351569065844,53.44,399
RUSK,60330,16.0,6.1,15.4,916,70.0,84.54108961727401,27.214068825910932,0.4581,3.8173991844132305,-0.053040964263795246,63.31,401
SABINE,41308,18.5,10.2,13.7,686,79.9,86.37562648377737,27.10153846153846,0.5439,4.841324994208941,-0.38257027319513703,65.9,403
SAN AUGUSTINE,43130,12.1,11.4,18.9,689,74.6,81.0754912099276,46.57105960715014,0.4617,9.756867698137038,-0.6149729343635321,62.16,405
SAN JACINTO,46678,14.3,7.7,19.6,841,78.7,84.49089683074848,4.010873924862962,0.4485,2.5076711459104857,-0.27263212879066107,62.36,407
SAN PATRICIO,59532,16.6,4.3,16.5,1134,76.9,81.75452861724715,13.051899960120778,0.462,6.266801075268817,-0.14125326245505934,56.54,409
SAN SABA,46927,17.0,3.4,23.1,786,81.0,81.64348925410873,15.248784321430325,0.4329,3.316326530612245,-0.08255509875785905,71.3,411
SCHLEICHER,61094,16.8,16.4,25.8,489,67.2,84.92433061699651,2.2219991299401,0.4007,2.8312570781426953,-0.6434029964611448,64.26,413
SCURRY,53376,15.8,2.9,20.6,795,78.9,81.01346433770014,-4.105208314618854,0.4182,2.9465930018416207,-0.07447122863680652,60.94,415
SHACKELFORD,54896,32.8,7.2,11.7,-666666666,86.1,90.5625290562529,9.169732524609724,0.466,5.279747832939322,0.9532362119028853,70.4,417
SHELBY,44504,14.2,6.0,20.6,725,75.0,80.6635431176396,22.560035250055076,0.4656,6.877950101146325,-0.44272184084105637,60.92,419
SHERMAN,55667,20.2,1.8,17.1,838,80.5,71.60025300442757,5.093545281202213,0.5881,2.7160493827160495,-0.32421270673649744,61.81,421
SMITH,62518,28.0,4.9,17.2,1018,86.3,87.63692344129315,28.418544461105522,0.4646,3.875787999066075,0.34278722330319666,64.18,423
SOMERVELL,89253,28.2,5.4,14.3,858,83.6,89.30622380878472,76.52189391242436,0.3964,2.6960024790827393,1.050300500831837,71.52,425
STARR,33334,12.3,12.1,33.8,599,64.7,58.754490361148434,24.930664867701072,0.5075,10.731759772030754,-1.6754833039778785,46.65,427
STEPHENS,46537,18.6,6.5,19.2,751,82.4,84.85430675632405,2.919256032023354,0.4869,8.094534711964549,-0.4357034479103853,63.97,429
STERLING,55481,18.8,0.0,27.1,906,85.6,92.4223602484472,10.616875348911396,0.4067,1.0075566750629723,0.357620853908477,69.96,431
STONEWALL,62273,14.7,2.1,17.1,707,84.7,84.46115288220551,29.819258270966664,0.4059,4.661016949152542,0.3473136408749137,75.92,433
SUTTON,61538,19.2,4.1,17.2,659,64.2,76.92307692307692,12.77512049407151,0.3968,3.6476868327402134,-0.057540665538401134,59.54,435
SWISHER,39685,16.3,6.2,21.7,702,76.1,72.88208665660703,12.847271589842752,0.4513,8.84134033104562,-0.6595637224908726,57.95,437
TARRANT,73545,33.4,5.1,16.8,1217,91.2,86.65149920957451,21.81769996521624,0.4543,4.304383323150456,0.5068385968635385,63.1,439
TAYLOR,57811,27.9,2.8,14.8,964,85.3,89.35502842579886,22.88708443159595,0.4505,4.6536065450724315,0.4167269321969333,61.38,441
TERRELL,47012,20.6,0.0,10.6,-666666666,67.6,86.41975308641975,89.4041335965513,0.3562,0.0,1.6993610525509983,65.97,443
TERRY,47734,11.7,8.0,22.1,728,78.7,72.97260645511255,18.132996757987478,0.4509,5.438510534051935,-0.5362394041826197,53.45,445
THROCKMORTON,47500,23.2,5.9,22.6,503,80.9,91.04477611940298,20.44221309397028,0.4968,3.7216828478964405,-0.11641500706011279,73.79,447
TITUS,53818,16.9,5.0,18.7,734,79.1,79.17798203467726,19.526495802425263,0.4198,4.6743007321193915,-0.053885381172988044,56.63,449
TOM GREEN,62052,25.1,3.7,13.3,917,82.1,87.43570615257764,30.260091945336608,0.4505,5.467041549515776,0.3583191985382208,62.96,451
TRAVIS,85043,52.7,4.3,12.4,1422,91.9,90.63449214540917,32.00925149793549,0.477,5.311078570359005,0.9670641085901679,63.27,453
TRINITY,45392,13.4,8.4,19.3,704,75.9,83.90077332529879,26.563502021469397,0.4612,10.580030617451948,-0.5737984860211466,59.92,455
TYLER,49130,14.8,16.2,18.9,786,79.1,81.4036312849162,8.151539833138882,0.4366,5.915708812260537,-0.6717053048112379,64.66,457
UPSHUR,55046,17.3,4.8,16.0,875,84.9,85.55503781497545,15.342385382616714,0.4536,4.30159165751921,0.0799413688259513,65.4,459
UPTON,58333,11.9,5.2,8.9,609,64.2,76.05570530098832,20.972625466611365,0.4197,7.946554149085795,-0.2264132007901912,61.83,461
UVALDE,51602,18.4,5.0,18.9,868,73.0,74.77711980217349,32.27551203506703,0.4861,7.628543969245555,-0.3837191701387049,54.74,463
VAL VERDE,51949,19.6,4.4,21.4,827,69.4,70.9097846068468,17.611501018791035,0.4351,4.5584045584045585,-0.3268973282597073,48.44,465
VAN ZANDT,61121,17.7,3.7,17.2,920,79.3,86.13086944831464,31.287724197186122,0.458,2.8847462239760513,0.22047007421926218,66.75,467
VICTORIA,60598,19.4,4.6,16.7,1001,74.0,83.63660735230053,10.788525878933031,0.4437,6.131096759110435,-0.09236292272987504,60.76,469
WALKER,44104,20.1,4.6,14.3,917,83.3,85.85580516818712,10.012471938139186,0.469,6.534903280067283,-0.09304300975531785,63.9,471
WALLER,65379,25.2,4.6,19.7,1021,80.7,87.51842594372877,22.185467593630857,0.4507,3.129700335531644,0.24542599800320303,62.47,473
WARD,66216,10.9,5.7,14.9,973,76.1,78.71683279517057,16.585675047538558,0.504,4.3963712491277045,-0.23449928903939926,53.68,475
WASHINGTON,65913,28.1,4.8,14.2,1047,80.3,89.12522594476438,25.029401722371862,0.4833,5.091327484539048,0.26659572278615995,70.76,477
WEBB,54618,19.4,5.8,28.6,896,77.0,68.82095953006979,41.09167936762161,0.4587,5.891847205637277,-0.4186356290147069,44.63,479
WHARTON,53963,18.6,6.0,19.0,842,77.7,80.52757256921126,16.18688771665411,0.4732,7.277699953305317,-0.3267664204999442,62.32,481
WHEELER,52138,17.4,3.8,21.6,841,79.2,81.35095447870778,2.0672643984182297,0.4394,6.770025839793281,-0.2771394621105066,66.93,483
WICHITA,53272,23.1,4.7,14.9,864,83.4,88.09090141490658,17.41420731304137,0.4552,6.761048720237478,0.08721309045970088,55.93,485
WILBARGER,45262,15.3,8.7,12.6,747,72.9,78.56078835796951,3.728658187235018,0.411,3.815961622328827,-0.2680895315976756,55.13,487
WILLACY,39401,9.6,7.9,29.1,687,67.7,68.53820086260012,36.728320088836455,0.4776,4.914370811615785,-0.8867594765900915,47.55,489
WILLIAMSON,94705,44.8,4.5,9.6,1426,94.4,94.0060554092713,24.718509251333376,0.3987,2.3408944806685645,1.3230164748603321,69.41,491
WILSON,84042,24.0,3.9,13.0,956,87.1,89.33424722851353,22.26602848538633,0.4418,2.4898224084016753,0.6775308210142695,70.1,493
WINKLER,67904,10.2,2.2,22.3,893,83.3,71.72786177105831,25.143288918376,0.3823,2.9746603011384503,0.1496568106351109,46.62,495
WISE,75482,18.7,4.6,17.3,1073,85.1,85.87805465006892,33.842825732321444,0.415,1.9712193460490464,0.5208446194579914,68.35,497
WOOD,58418,20.4,4.6,15.9,833,81.3,86.15322730366978,22.17760488559836,0.4608,4.87943585077343,0.11389488283934682,68.21,499
YOAKUM,73102,10.8,3.6,24.7,887,89.0,72.9055638456619,29.030094431206425,0.4079,1.1185682326621924,0.20942404463761713,56.14,501
YOUNG,52074,25.7,3.3,18.4,723,82.9,86.75144880875725,10.84763080590915,0.4596,4.656498852746659,0.10382022353801526,67.06,503
ZAPATA,34406,11.9,8.3,26.0,506,60.0,68.24470110420104,-6.950454348766767,0.5539,9.703872437357631,-1.5646432040145886,60.55,505
ZAVALA,44573,14.8,3.7,14.1,641,75.5,75.57368689444161,67.32234693494502,0.3776,3.7418974661166766,0.3240800062829405,44.71,507
