County,Median_Household_Income,Bachelors_Degree_Pct,No_Vehicle_Pct,No_Health_Insurance_Pct,UOI,Voter_Turnout,fips
FLOYD,54007,14.9,8.39493136219641,23.8,-0.1350921432078302,57.21,153
FOARD,37679,17.0,10.615711252653929,16.9,0.49729896829451525,68.11,155
FORT BEND,102590,48.1,2.866780391036873,12.2,0.9123130522605878,65.26,157
FRANKLIN,61391,29.2,2.086858432036097,15.1,0.11585396176420486,69.6,159
FREESTONE,55910,16.0,3.1825795644891124,11.6,0.0016836426533685667,67.14,161
FRIO,58456,8.9,8.587024984253622,16.6,0.06704497677079971,51.35,163
GAINES,67728,10.7,4.590405904059041,30.5,-0.9773374296935617,61.18,165
GALVESTON,79328,33.2,5.154045057136574,13.2,0.6362152119388208,64.66,167
GARZA,64871,11.6,4.633431085043989,11.9,-0.0034232377105692935,60.43,169
GILLESPIE,64438,35.2,4.310575635876841,18.4,0.3499186993308018,75.58,171
GLASSCOCK,85417,30.8,1.312910284463895,27.8,-0.555469849612134,79.29,173
GOLIAD,52335,18.1,8.461250467989517,11.3,0.6016923328608819,68.03,175
GONZALES,55698,13.6,7.430629669156883,20.3,-0.09232499588817678,58.74,177
GRAY,50635,14.6,3.66704732901916,20.7,-0.45398093523273203,61.52,179
GRAYSON,62078,21.8,4.0551929597616665,16.8,2.597006678532049e-05,65.47,181
GREGG,56566,21.2,5.645818150640888,18.0,0.07809105029051276,60.22,183
GRIMES,59086,17.6,3.7490759319885942,16.0,-0.11685399980769993,66.5,185
GUADALUPE,80047,28.7,2.5719125926179434,11.9,0.31086181652083505,64.84,187
HALE,48649,16.7,3.992773261065944,23.0,-0.4747815412422035,50.54,189
HALL,41467,19.3,3.4452296819787986,22.1,-0.4045665056679901,60.45,191
HAMILTON,44030,21.6,4.020618556701031,15.9,0.036050142723284946,70.94,193
HANSFORD,47500,23.7,5.215419501133787,16.1,0.2075029399980553,66.69,195
HARDEMAN,56400,15.8,4.173486088379706,12.3,0.058010557445084765,57.29,197
HARDIN,65347,18.7,5.109879424348502,16.4,0.030595393228362057,65.33,199
HARRIS,65788,32.5,6.433572926910594,21.1,0.34100686977624795,58.18,201
HARRISON,57996,21.1,6.104794859120118,15.3,0.25719828623016855,63.82,203
HARTLEY,61196,23.1,1.4671361502347418,17.5,-0.25164420273064236,71.19,205
HASKELL,48432,17.7,4.778325123152709,19.8,-0.20479589881421928,65.75,207
HAYS,71061,38.7,3.0603834016296925,13.9,0.5604894490964292,67.07,209
HEMPHILL,54867,21.7,5.191059841384282,18.4,0.028047416431805736,68.73,211
HENDERSON,51963,18.2,5.120414494514984,18.4,-0.08492011870111876,65.08,213
HIDALGO,44666,19.5,6.021848552692168,30.8,-0.584877315153259,48.92,215
HILL,57800,17.3,5.826880318945029,16.8,0.03869390055473176,61.76,217
HOCKLEY,49241,17.0,6.61625708884688,19.1,-0.009030577817360094,55.97,219
HOOD,75851,30.4,2.326927051043604,13.7,0.24691569763532575,70.75,221
HOPKINS,57745,21.0,3.106358213298414,19.5,-0.25472038463504676,66.08,223
HOUSTON,43644,14.3,8.64953080375357,15.5,0.29236725198696933,67.51,225
HOWARD,60260,13.7,5.040623445531421,17.3,-0.17326708356769116,55.87,227
HUDSPETH,32404,8.4,12.31300345224396,21.3,0.1815324968915193,45.34,229
HUNT,61053,21.3,5.162769884774583,16.2,0.12464992622345678,63.84,231
HUTCHINSON,57288,16.6,3.880249963668071,18.5,-0.2608612418824175,61.35,233
IRION,39770,18.3,5.760709010339734,14.6,0.17380109062101584,70.33,235
JACK,56916,14.8,11.908030199039121,18.9,0.4570751495304632,71.25,237
JACKSON,60807,15.5,5.489815712900097,16.2,-0.018671806960148904,63.99,239
JASPER,44356,13.1,5.698184095178459,19.3,-0.22793460905224705,64.57,241
